7522	[ Null ]
516	··D···
516	··DA··
7388	··DA··
64240	[ Null ]
65535	·····S
516	····SS
516	···ASS
261	··DASS
261	··DASS
261	··DASS
515	··DASS
515	··DASS
261	··DASS
261	··DASS
261	··DASS
515	··DASS
515	··DASS
515	··DASS
515	··DASS
515	··DASS
515	··DASS
261	··DASS
261	··DASS
513	··DASS
261	··DASS
261	··DASS
261	··DASS
261	··DASS
261	··DASS
265	··DASS
265	··DASS
512	··DASS
512	··DASS
512	··DASS
265	··DASS
265	··DASS
265	··DASS
516	··DASS
265	··DASS
265	··DASS
515	··DASS
265	··DASS
515	··DASS
265	··DASS
515	··DASS
251	[ Null ]
515	··D···
251	··D···
